weight logl norm alpha beta
1.722859112284632060e-51 -1.245586865644153391e+02 8.865287412264285516e-01 1.316726210086688775e+00 1.177870879199578225e+00
2.367103653861018967e-51 -1.242385046289641934e+02 6.708119241727860782e+00 2.872878503696648878e+00 4.987959412212526478e-01
6.780852644582138399e-51 -1.231835688969422762e+02 4.279488938418423594e+00 1.123234523813932961e+00 1.424970986688987473e+00
1.418577432148093358e-50 -1.224429320956601117e+02 2.299502499476513417e+00 1.003479729644016771e+00 1.165494705307568601e+00
3.884059739370271583e-50 -1.214332057255823685e+02 8.000044177675286861e+00 2.442704580838386708e+00 2.391057434373134449e-01
5.782407189779885397e-50 -1.210327665919762268e+02 7.766155705282236088e-01 2.403510011762893139e+00 1.423345144354279057e+00
6.539689825974316408e-50 -1.209071969196581335e+02 7.383923299286926145e+00 2.673401972022484419e+00 3.739161481457809466e-01
7.366689099327050633e-50 -1.207856182917729910e+02 8.373371404070474311e-01 2.202559062464454875e+00 1.487473762053166393e+00
7.866156159321828522e-50 -1.207175171305252519e+02 8.334368255738031195e+00 2.974709717886475868e+00 8.291093237512933145e-01
7.936615877840184075e-50 -1.207060996842354399e+02 8.264233255785292664e-01 1.526438704349060149e+00 8.437031463939570486e-01
1.194452645699236374e-49 -1.202948135204067626e+02 3.986708362448529552e+00 1.267020147700527843e+00 9.552402878178032353e-01
4.975363436647578182e-49 -1.188655031432526243e+02 1.115064780539008815e+00 1.200122593253079240e+00 1.376801041045071727e+00
5.424842337927632286e-49 -1.187765127269163941e+02 1.219288585534007208e+00 1.127720979041476834e+00 1.057733373059576154e+00
1.292310745963669628e-48 -1.179059845789004299e+02 4.444755365333620922e+00 1.573103249174718332e+00 2.626457006187432608e-01
1.753802974599245603e-48 -1.175981299123436372e+02 7.374932445986254415e+00 2.572679472369112652e+00 2.879584792321277509e-01
2.209899121620424081e-48 -1.173644696026311607e+02 1.793736751969797760e+00 1.428290186856068900e+00 9.084884443564852918e-02
2.616506381621023272e-48 -1.171930764849748385e+02 5.793110936734891858e+00 1.641919541132112581e+00 3.933455531031648800e-01
3.190870502051568074e-48 -1.169921227065672298e+02 8.787976440386615629e-01 2.089773407593210397e+00 1.353341588621419733e+00
5.300607062294864848e-48 -1.164820951167388898e+02 1.638097769238537671e+00 1.078087321978124180e+00 1.083404324400107255e+00
5.363527757638393752e-48 -1.164677945484669266e+02 3.921889904617637868e+00 1.212288676870146853e+00 1.206561675915849507e+00
5.556496471236751343e-48 -1.164299486922194404e+02 4.495447504448192078e+00 1.182539618238819035e+00 1.488686052916359692e+00
1.312213714634867600e-47 -1.155681158082907700e+02 1.116906121814878805e+00 1.308629384082542924e+00 5.892921239712517467e-01
1.382493441095133688e-47 -1.155134426676312245e+02 2.717978298706018592e+00 3.071471239800623643e+00 1.812436952709031157e-01
1.918569184247085124e-47 -1.151832516861095144e+02 8.125237585731866830e+00 3.408070027645779376e+00 1.445016011102939313e+00
2.527303090856878725e-47 -1.149051786156054646e+02 1.664275483473526052e+00 1.032611251059984081e+00 1.375793349446754688e+00
2.947467963123436480e-47 -1.147488848935983583e+02 6.630301017269609964e+00 2.926126342431335292e+00 5.821053472232188275e-01
5.938852081660174720e-47 -1.140458155153461632e+02 6.308584993531646035e+00 2.671097008033962883e+00 2.671613041988949999e-01
7.261399954361642318e-47 -1.138422587363728979e+02 7.161044736625954421e+00 1.705925540696913378e+00 5.827319316684138606e-01
1.911356015208420197e-46 -1.128719333390395150e+02 6.338713290191539951e-01 2.799617191695517704e+00 8.597416120358102321e-01
2.164272185731555295e-46 -1.127451621527418837e+02 8.110592387578838824e-01 1.705381192253249578e+00 4.772005195199790495e-01
7.208663562824421025e-46 -1.115394627095210751e+02 2.577305401933121409e+00 1.107747548269897520e+00 1.292784317610003342e+00
7.689549015439643535e-46 -1.114723841485940028e+02 9.795319220892816148e+00 1.759097275772326441e+00 1.100823731642052161e+00
8.101436388400761677e-46 -1.114177049069470087e+02 9.854849150009137304e+00 1.756434436181447456e+00 1.121806689164478010e+00
8.312041491792748970e-46 -1.113895410392267138e+02 1.353240147733826726e+00 1.243683487956250833e+00 9.611007771958108847e-01
9.362360915019098003e-46 -1.112680487916109797e+02 8.899936119959216185e+00 2.142066943340358964e+00 3.084404939275589563e-01
1.223306750987261894e-45 -1.109981035480871867e+02 6.074824909030375863e+00 1.500681695556047579e+00 1.023801265779033853e+00
1.344793371368837039e-45 -1.109009208177944004e+02 8.585184149784938157e+00 2.341524873616570357e+00 2.937192985037561654e-01
1.601451819911914757e-45 -1.107237505865477090e+02 8.433327158605942842e+00 1.905694499555170562e+00 4.590561498057760814e-01
1.714932846789860474e-45 -1.106527872683507212e+02 9.068297190443009859e-01 1.902562667460451884e+00 9.800627540421108508e-01
2.125252664516889568e-45 -1.104357704955538964e+02 9.597447643514591675e+00 1.790734671842556747e+00 9.936235073776850113e-01
3.330447862805222371e-45 -1.099840544035274235e+02 1.169637807157505316e+00 1.485260494604086379e+00 1.324459045093716814e+00
4.872848450532783352e-45 -1.096009825282626053e+02 3.208695643781962925e+00 1.239746023718081069e+00 1.085970593792131345e+00
5.639856340133063682e-45 -1.094523025982333024e+02 4.279396076684646166e-01 3.286106986723313472e+00 6.648448532604497863e-02
