norm alpha beta
2.729606986042746986e+00 2.600624040041020102e+00 3.327622937655522195e-01
2.734473714980234504e+00 2.575002657002894324e+00 3.424090312657033786e-01
2.394713801415865539e+00 2.615598076812216455e+00 2.387671123070239099e-01
2.497651580121305948e+00 2.605457797423914812e+00 3.775740496688087533e-01
3.211046346675169527e+00 2.533743742092140039e+00 3.691726789008186183e-01
3.228560422701474586e+00 2.590900270315326104e+00 4.582657592489445264e-01
2.727803374677306714e+00 2.692303502926148173e+00 3.135171515570912004e-01
2.795612574142849027e+00 2.633341856201600439e+00 3.626257010011408877e-01
3.145017881731752674e+00 2.615931334108711592e+00 5.495896410634901752e-01
2.427613874778723257e+00 2.710942764801886451e+00 3.044951956856232211e-01
3.063983002660669808e+00 2.541923692816435487e+00 3.454989118153580785e-01
2.865900873969629448e+00 2.616529473241846038e+00 3.668384608430073635e-01
3.233047497680392013e+00 2.654011821700331009e+00 5.296559666548104062e-01
3.453291709296980372e+00 2.522039846085123660e+00 3.603229403126404495e-01
3.080585482716413193e+00 2.558002215020685810e+00 3.192664786367727658e-01
2.687959749360515627e+00 2.596097704876335399e+00 2.957022841050754858e-01
3.212343989284689894e+00 2.540046387360658464e+00 5.293785091229739059e-01
2.623852289240753421e+00 2.455123890360137118e+00 1.380658682957640604e-01
2.730122036602864455e+00 2.595652585154752501e+00 3.707544021418557878e-01
3.296493422050197353e+00 2.614490013836481275e+00 5.976224011885626908e-01
2.561425375416244599e+00 2.552706055119432271e+00 3.641919310871043480e-01
2.744778309181490350e+00 2.480399051909055963e+00 2.639292578545719969e-01
2.810445412488078443e+00 2.694128547181648070e+00 3.085971325668999121e-01
3.051021103378180221e+00 2.639181443629323276e+00 4.611605306338259491e-01
2.943515784609198604e+00 2.555734356153730236e+00 3.290481744475558523e-01
2.919436658800437012e+00 2.634132780924928863e+00 4.727691800894613383e-01
2.058881592020736839e+00 2.627479468445794719e+00 1.111387434138368935e-01
3.273800783181609386e+00 2.717766246453683365e+00 6.191053505751542563e-01
2.725911155509584294e+00 2.619456411601855272e+00 4.553282928549994835e-01
2.272108937249289085e+00 2.742873798151726383e+00 2.575235292364200235e-01
2.643602646574704895e+00 2.540877338831175614e+00 1.477131488398915060e-01
2.866508407345400578e+00 2.514359102730948869e+00 2.493125030570348954e-01
2.811959725922806630e+00 2.444654114268506540e+00 3.286089460231571002e-01
2.688743834549663703e+00 2.498403595232801422e+00 1.585492730035934217e-01
3.355293852904628782e+00 2.518599347773596175e+00 2.800168227719540548e-01
2.501621633660765731e+00 2.545455850154559663e+00 1.977791325708826431e-01
2.623966881015472374e+00 2.600031365817469187e+00 2.860854269581732390e-01
2.790823562634492383e+00 2.616416700330412404e+00 3.321633413105838928e-01
3.335054924615606264e+00 2.612384532346278654e+00 4.761130527899081755e-01
2.201064949619594646e+00 2.599624215009372019e+00 1.760878636293785604e-01
2.492565587940274607e+00 2.463990080079985212e+00 2.520038235569223017e-01
3.096995257523905032e+00 2.623201325968608444e+00 4.416388748850544888e-01
